GROUP;CODE;EN;DE;SP;FR;XXX
WORDS;BY;by;by;por;par;
WORDS;ALL;All;Alle;Todos;Tout;
WORDS;SAVE;SAVE;SCHÜTZEN;GUARDAR;SAUVEGARDER;
WORDS;DATESTR;DATE (yyyy-mm-dd);DATUM (yyyy-mm-dd);FECHA (aaaa-mm-dd);DATE (aaaa-mm-jj);
WORDS;ADMINISTRATION;Administration;Verwaltung;Administración;Administration;
WORDS;GENERALPARAMETERS;General Parameters;General Parameters;Parámetros generales;Paramètres généraux;
WORDS;MAINTENANCEFUNCTIONS;Maintenance functions;Maintenance functions;Funciones de mantenimiento;Fonctions de maintenance;
WORDS;SECTIONSTREE;Sections tree;Sections tree;Arbol de secciones;Sections organigramme;
WORDS;USER;User;User;usuario;Administrateur;
WORDS;USERS;Users;Users;Usuarios;Clients;
WORDS;OLDUSER;Registered User;Registered User;Usuario registrado;Client enregistré;
WORDS;NEWUSER;New User ?;New User ?;usuario nuevo?;Nouveau Client ?;
WORDS;ADMINISTRATOR;Administrator;Administrator;Administrador;Administrateur;
WORDS;ADMINISTRATORS;Administrators;Administrators;Administradores;Administrateurs;
WORDS;REGISTEREDUSERS;Registered Users;Registered Users;Usuarios Registrados;Clients enregistrés;
WORDS;QUERY;Query;Query;Consulta;Requête;
WORDS;TEXTTOSEARCH;Text to search;Text to search;Texto a buscar;Texte à chercher;
WORDS;FROM;from;from;desde;de;
WORDS;TO;to;to;hasta;à;
WORDS;OF;of;of;de;de;
WORDS;RESULTS;results;Ergebnisse;resultados;résultats;
WORDS;RESULTSPAGES;Pages;Seite;Páginas de resultados;Pages;
WORDS;FIRSTPAGE;First Page;Erste Seite;Primera Página;Première Page;
WORDS;LASTPAGE;Last Page;Letzte Seite;Última Página;Dernière page;
WORDS;PREVPAGE;Previous page;Vorige Seite;Página anterior;Page Précédente;
WORDS;NEXTPAGE;Next page;Nächste Seite;Próxima Página;Page suivante;
WORDS;NORESULTS;No results.;No results.;Sin resultados;Indisponible;
WORDS;ORDERBY;Order by;Order by;Ordenar por;filtré par;
WORDS;SELECTCONTENT;Select content;Select content;Seleccionar contenido;Selectionner contenu;
WORDS;CLEANFILES;Clean Files no longer used;Clean Files no longer used;Eliminar archivos sin usar;Efface les Fichiers non utilisés;
WORDS;CLEANOUTDATED;Clean Outdated Contents;Clean Outdated Contents;Eliminar contenidos vencidos;Clean Outdated Contents;
WORDS;NEXT;Next;Nächster;Siguiente;Suivant;
WORDS;PREVIOUS;Previous;Zurück;Anterior;Antérieur;
WORDS;NEXTPAGE;Next page;Nächste Seite;Siguiente página;Page suivante;
WORDS;PREVIOUSPAGE;Previous page;Vorige Seite;Página anterior;Page précédante;
WORDS;ITEMSPERPAGE;Res. per page;Ergebnisse pro Seite;Res. por página;Rés. par page;
WORDS;SEARCH;Search;Suche;Buscar;Chercher;
WORDS;FILTERED;Filtered;Filtered;Filtrado;Filtré;
WORDS;FILTEREDBY;Filtered by;Filtered by;Filtrado por;Filtré par;
WORDS;NAME;Name;Vorname;Nombre;Nom;
WORDS;SUBJECT;Subject;Subjekt;Asunto;Sujet;
WORDS;COMMENT;Questions or comment(s);Kommentar;Comentario;Commentaire;
WORDS;MESSAGE;Message;Anmerkungen;Mensaje;Message;
WORDS;SEND;Send;Abschicken;Enviar;Envoyer;
WORDS;FILLTHEFORM;Fill the form and press Send button.;Fill the form and press Send button.;Complete sus datos.;Remplissez le formulaire et appuyez sur le bouton Envoyer.;
WORDS;YES;Yes;Ja;Sí;Oui;
WORDS;NO;No;Nein;No;Non;
WORDS;ADD;Add;Hinzufügen;Agregar;Ajouter;
WORDS;MODIFY;Modify;Modifizieren;Modificar;Modifier;
WORDS;DELETE;Delete;Annullieren;Borrar;Supprimer;
WORDS;NAME;Name;Vorname;Nombre;Nom;
WORDS;SUBJECT;Subject;Subjeckt;Asunto;Sujet;
WORDS;COMMENT;Comment;Kommentar;Comentario;Commentaire;
WORDS;MESSAGE;Message;Anmerkungen;Mensaje;Message;
WORDS;SEND;Send;Abschicken;Enviar;Envoyer;
WORDS;FILLTHEFORM;Fill the form and press Send button.;Fill the form and press Send button.;Complete sus datos.;;
WORDS;VISITED;Visited;Visited;Visitantes;Visiteurs;
WORDS;TIMES;times;times;veces;fois;
WORDS;SELECTALL;Select/Unselect all;Select/Unselect all;Seleccionar todo/nada;Tout/Rien cocher;
WORDS;APPLYTOSELECTION;Apply to selection;Apply to selection;Aplicar a la selección;Appliquer a la sélection;
WORDS;DELETESELECTION;Delete selection;Delete selection;Borrar selección;Effacer selection;
WORDS;DELETEALL;Delete all;Delete all;Borrar todo;Effacer tout;
WORDS;LIST;List;List;Listar;Génerer la liste;
WORDS;LISTMAILS;List mails;List mails;Listar direcciones de correo electrónico;Génerer la liste des emails;
WORDS;ACTIVATE;Activate;Activate;Habilitar;Activer;
WORDS;DEACTIVATE;Deactivate;Deactivate;Deshabilitar;Désactiver;
WORDS;FORGOTPASSWORD;Forgot Password ?;Passwort vergessen ?;¿Olvidó su contraseña?;Mot de passe oublié ?;
WORDS;CONCEPTION;Conception;Conception;Concepción;Conception;
WORDS;MOREINFO;More info;Mehr Details;Más info;Plus de détails;
WORDS;INSCRIPTION;Inscription;Inscription;Inscripción;Inscription;
WORDS;UPLOAD;Upload;Hochladen;Subir;Télécharger;
WORDS;SAVE;Save;Validieren;Guardar;Validez;
WORDS;VALIDATEYOURADD;Validate your ad;Validieren sie ihr;Validar su aviso;Valider votre annonce;
WORDS;MAX;Max;Max;Max;Max;
WORDS;RECORDS;records;records;registros;enregistrements;
WORDS;ALLTHERECORDS;All the records;All the records;Todos los registros;Tout les enregistrements;

;;;;;;
SHOP;;;;;;
SHOP;ARTICLE;product;product;artículo;article;
SHOP;ARTICLEPRICE;Price;Price;Precio unitario;Tarif unitaire;
SHOP;ARTICLENUMBER;Number;Number;Número;Quantité;
SHOP;ARTICLES;products;products;artículos;articles;
SHOP;ADDTOCART;Add to cart;Add to cart;Agregar al canasto;Ajouter a votre panier;
SHOP;ADDTOCARTCONFIRMATION;One product have been added to your shopping list;One product have been added to your shopping list;Un artículo fue agregado al canasto.;Un article a été ajouté a votre panier;
SHOP;BACKTOSHOPLIST;Bask to shopping list;Bask to shopping list;Volver al canasto;Revenir sur le panier.;
SHOP;SHOPPINGLIST;Shopping List;Shopping List;Su canasto;Votre panier;
SHOP;GOTOSHOPPINGLIST;Go to Shopping List;Go to Shopping List;Consulte su canasto;Consultez votre panier;
SHOP;SHOPPINGLISTITEMS;Your shopping list have;Your shopping list have;Su canasto contiene;Votre panier contient;
SHOP;ACCEPTCONDITIONS;I have read and accept the;I have read and accept the;Reconozco haber tomado conocimiento de las;Je reconnais avoir pris connaissance des;
SHOP;MUSTACCEPTCONDITIONS;You must have read and accept the Terms and Conditions.;You must have read and accept the Terms and Conditions.;Debe leer y aceptar las condiciones de uso.;Pour continuer, vous devez lire et accepter les Conditions Générales de Vente.;
SHOP;CONDITIONS;Terms & Conditions;Terms and Conditions;condiciones y términos de uso;Conditions Générales;
SHOP;TERMSOFSALE;Terms & Conditions;AGB;Términos de venta y entrega;Conditions Générales de Vente;
SHOP;PRIVACYPOLICY;Privacy policy;Datenschutz;Política de privacidad;Charte de confidentialité;
SHOP;CHOOSEYOURCARD;Choose a card;Choose a card;Elija una tarjeta de crédito;Choisissez votre carte pour effectuer la transaction.;
SHOP;COMMANDCONFIRMATION;Command confirmation;Command confirmation;Confirmación de su pedido;Confirmation de votre commande;
SHOP;SHIPPINGCOST;Shipping cost;Shipping cost;Costo de envío;Frais de port;
SHOP;SHIPPINGADDRESS;Shipping address;Shipping address;Dirección de envío;Adresse de livraison;
SHOP;CONTACTADDRESS;Contact address;Contact address;Dirección de contacto;Adresse de facturation;
SHOP;TOTAL;total;total;Total;Total;
SHOP;SUBTOTAL;subtotal;subtotal;Subtotal;Sous-total;
SHOP;;;;;;
SHOP;CLIENTMESSAGECONFIRMATIONBYCARD;;;;Bonjour {NOMBRE} {APELLIDO},;
SHOP;CLIENTMESSAGECONFIRMATIONBYCHECK;;;;Bonjour {NOMBRE} {APELLIDO},;
SHOP;RECEPTIONNOTIFICATION;;;;Avis de réception d'un paiement;
SHOP;RECEPTIONMESSAGENOTIFICATIONCLIENT;;;;{NOMBRE} {APELLIDO}<br>Adresse de livraison<br>{DIRECCION}<br>{PRODUCTS}<br>{TOTAL};
SHOP;RECEPTIONMESSAGENOTIFICATIONPRODUCT;;;;Produit: {PRODUCT}<br>Sous-total: {SUBTOTAL};
SHOP;RECEPTIONNOTIFICATIONBYCHECK;;;;Dans l'attente de réception du chèque de réglement.;
SHOP;RECEPTIONMESSAGENOTIFICATIONCLIENTBYCHECK;;;;Commande par Chèque:<br>{NOMBRE} {APELLIDO}<br>Adresse de livraison<br>{DIRECCION}<br>{PRODUCTS};
SHOP;RECEPTIONMESSAGENOTIFICATIONPRODUCTBYCHECK;;;;Produit: {PRODUCT}<br>Sous-total: {SUBTOTAL};
SHOP;CHECKADDRESS;;;;Adresse postale de votre réglement par chèque :;
SHOP;CLIENTLOGINFAILED;;;;Vos coordonnées n'ont pas pu être délivrées.;
;;;;;;
CONFIG;;;;;;
CONFIG;DATABASEACCESS;Database Access;Database Access;Base de Datos (Acceso);Base de Données (Accés);
CONFIG;DATABASETYPE;Database Type;Database Type;Tipo de DB;Type base de données;
CONFIG;DATABASENAME;Database Name;Database Name;Nombre de DB;Nom base de données;
CONFIG;DATABASESERVER;Database Server;Database Server;Servidor de DB;Serveur base de données;
CONFIG;DATABASEUSER;Database User;Database User;Usuario de DB;Utilisateur base de données;
CONFIG;DATABASEPASSWORD;Database password;Database password;Contraseña de DB;Mot de passe base de données;
CONFIG;FTPACCESS;FTP Access;FTP Access;FTP (Acceso);FTP (Accés);
CONFIG;FTPSERVER;Ftp Server;Ftp Server;Servidor Ftp;Serveur ftp;
CONFIG;FTPUSER;Ftp User;Ftp User;Usuario Ftp;Utilisateur ftp;
CONFIG;FTPPASSWORD;Ftp Password;Ftp Password;Contraseña de Ftp;Mot de passe ftp;
CONFIG;;;;;;
CONFIG;SITENAME;Site Name;Site Name;Nombre del sitio;Nom du site;
CONFIG;SITEWWW;Site Url;Site Url;Url del sitio;Url du site;
CONFIG;SITEACCESS;Site Access;Site Access;Sitio (Acceso);Site (Accés);
CONFIG;DOCROOT;Doc Root;Doc Root;Raiz absoluta;Racine absolut;
CONFIG;SITEROOT;Site Root;Site Root;Raiz del sitio;Racine du site;
CONFIG;;;;;;
CONFIG;DIR_ADMABS;Absolute Path to Admin;Absolute Path to Admin;Camino absoluto al Administrador;Chemin administrateur;
CONFIG;DIR_ADMREL;Relative Path to Admin;Relative Path to Admin;Camino relativo al Administrador;Chemin relatif administrateur;
CONFIG;DIR_SITEABS;Absolute Path to Site;Absolute Path to Site;Camino absoluto al Sitio;Chemin absolut au site;
CONFIG;DIR_SITEREL;Relative Path to Site;Relative Path to Site;Camino relativo al Sitio;Chemin relatif au site;
CONFIG;DIR_FTPREL;Relative Path to Ftp Directory;Relative Path to Ftp Directory;Camino relativo al Ftp;Chemin relatif au ftp;
CONFIG;;;;;;
CONFIG;DIRACCESS;Directory Access;Directory Access;Carpetas (Acceso);Dossiers (Accés);
CONFIG;DIR_ARCH;Files directory;Files directory;Directorio de Archivos;Fichiers principaux;
CONFIG;DIR_ARCH_IMG;Files directory (images);Files directory (images);Directorio de Archivos (Imágenes);Fichiers principaux (Images);
CONFIG;DIR_ARCH_DOC;Files directory (documents);Files directory (documents);Directorio de Archivos (Documentos);Fichiers principaux (Documentos);
CONFIG;DIR_SECTIONS;Secion directory;Secion directory;Directorio de Secciones;Section principale;
CONFIG;DIR_TMP;Tmp directory;Tmp directory;Directorio Temporal;Directoire temporel;
CONFIG;;;;;;
CONFIG;COLOR_BG;Colour background;Colour background;Color fondo;Couleur fond;
CONFIG;COLOR_FG;Colour foreground;Colour foreground;Color frente;Couleur face;
CONFIG;COLOR_INK;Colour ink;Colour ink;Color tinta;Couleur encre;
CONFIG;COLOR_INKHL;Colour ink highlight;Colour ink highlight;Color tinta highlight;Couleur encre highlight;
CONFIG;COLOR_BOX;Colour box background;Colour box background;Color caja fondo;Couleur cadre fond;
CONFIG;COLOR_BOXHL;Colour box background highlight;Colour box background highlight;Color caja fondo highlight;Colour cadre fond highlight;
CONFIG;MYSQL_PASSWORD_VERSION;MySQL password version;MySQL password version;Versión de password de MySQL;MySQL password version;
CONFIG;LANG;Language;Language;Idioma;Language;
CONFIG;ADMIN_TYPE;User Admin Type;User Admin Type;Tipo Administrador;Tipe d?interface administrateur;
CONFIG;ADMIN_TYPE_TREE;Tree;Tree;Arbol;Organigramme;
CONFIG;ADMIN_TYPE_LAPEL_SECTION;Lapel section;Lapel section;Solapa por seccion;Lapel section;
CONFIG;ADMIN_TYPE_LAPEL_CONTENTTYPE;Lapel content type;Lapel content type;Solapa por tipo de contenido;Lapel content type;
CONFIG;ADMIN_COPETE;Contents hidding resume;Contents hidding resume;Esconder el campo Resumen;Cacher le champ Résumé;
CONFIG;ADMIN_CUERPO;Contents hidding body;Contents hidding body;Esconder el campo Cuerpo;Cacher le champ Texte;
CONFIG;ADMIN_EVENTO;Contents hidding date event;Contents hidding date event;Esconder el campo Evento;Cacher le champ Évenement;
CONFIG;ADMIN_STARTURL;Admin Start url;Admin Start url;Admin url inicio;Admin Start url;
CONFIG;SITIO_SESION;Session mode (auto|pass);Session mode (auto|pass);Modo de la sesión de usuario (auto|pass);Session mode;
CONFIG;;;;;;
CONFIG;SECTION;Section;Section;Sección;Section;
CONFIG;SECTIONS;Sections;Sections;Secciones;Sections;
CONFIG;PARENT;Parent;Parent;Padre;Parent;
CONFIG;SECTIONTYPE;Section Type;Section Type;Tipo de sección;Type de section;
CONFIG;SECTIONTYPES;Section Types;Section Types;Tipos de secciones;Types de sections;
CONFIG;SECTIONNAME;Name;Name;Nombre;Nom section;
CONFIG;SECTIONDESCRIPTION;Description;Description;Descripción;Description section;
CONFIG;SECTIONKEYWORDS;Keywords;Keywords;Palabras clave;Mots clés;
CONFIG;ADDSECTION;Add new section;Add new section;Agregar nueva sección;Ajouter une catégorie;
CONFIG;ADDINGSECTION;Adding section;Adding section;Agregando nueva sección;Nouvelle catégorie en cours;
CONFIG;MODIFYINGSECTION;Modifying section;Modifying section;Modificando sección;Modification catégorie;
CONFIG;DELETINGSECTION;Deleting section;Deleting section;Eliminando sección;Effacement catégorie;
;;;;;;
CONFIG;CONFIGURATION;Configuration;Configuration;Configuración;Configuration;
CONFIG;SECTIONS;Sections;Sections;Secciones;Sections;
CONFIG;CONTENTS;Contents;Contents;Contenidos;Contenus;
CONFIG;CARDS;Cards;Cards;Fichas;Fiches;
CONFIG;TEMPLATES;Templates;Templates;Plantillas;Modèles;
CONFIG;MODULES;Modules;Modules;Módulos;Modules;
CONFIG;TRANSLATIONS;Translations;Translations;Traducciones;Traductions;
CONFIG;FUNCTIONS;Functions;Functions;Funciones;Fonctions;
;;;;;;
CONFIG;CONTENTTYPE;Content Type;Content Type;Tipo de contenido;Type de contenu;
CONFIG;CONTENTTYPES;Content Types;Content Types;Tipos de Contenidos;Types de Contenus;
CONFIG;CONTENT;Content;Content;Contenido;Contenu;
CONFIG;CONTENTS;Contents;Contents;Contenidos;Contenus;
;;;;;;
CONFIG;DETAILTYPE;Detail Type;Detail Type;Tipo de detalle;Type de détail;
CONFIG;DETAILTYPES;Detail Types;Detail Types;Tipos de Detalles;Types de Détails;
CONFIG;DETAIL;Detail;Detail;Detalle;Détail;
CONFIG;DETAILS;Details;Details;Detalles;Détails;
;;;;;;
CONFIG;GROUP;Group;Group;Grupo;Groupe;
CONFIG;GROUPS;Groups;Groups;Grupos;Groupes;
CONFIG;USER;User;User;Usuario;Utilisateur;
CONFIG;USERS;Users;Users;Usuarios;Utilisateurs;
CONFIG;USERSLOG;Users Log;Users Log;Usuarios Log;Utilisateurs Log;
;;;;;;
;;;;;;
CONFIG;ADDSECTION;Add new section;Add new section;Agregar nueva sección;Ajouter une catégorie;
CONFIG;ADDINGSECTION;Adding section;Adding section;Agregando nueva sección;Nouvelle catégorie en cours;
CONFIG;MODIFYINGSECTION;Modifying section;Modifying section;Modificando sección;Modification catégorie;
CONFIG;DELETINGSECTION;Deleting section;Deleting section;Eliminando sección;Effacement catégorie;
;;;;;;
CARD;;;;;;
CARD;ADDCARD;Add a New Card;Add a New Card;Agregar Nueva ficha;Ajouter une fiche;
CARD;ADDINGCARD;Adding card;Adding card;Agregando ficha;Nouvelle fiche en cours;
CARD;MODIFYINGCARD;Modifying card;Modifying card;Modificando ficha;Modification fiche;
CARD;DELETINGCARD;Deleting card;Deleting card;Borrando ficha;Effacement fiche;
CARD;CARDTITLE;Title;Title;Título;Titre;
CARD;CARDTYPE;Type;Type;Tipo;Type;
CARD;CARDBRIEF;Brief;Brief;Resumen;Résumé;
CARD;CARDBODY;Body;Body;Descripción;Texte;
CARD;CARDAUTHOR;Author;Author;Autor;Auteur;
CARD;CARDDETAILS;Details;Details;Detalles;Détails;
CARD;CARDEVENTDATE;Event Date;Event Date;Fecha evento;Data de l'évenement;
CARD;CARDDATEIN;Date In;Date In;Fecha Alta;Date d'entrée;
CARD;CARDDATEOUT;Date Out;Date Out;Fecha Baja;Date de sortie;
CARD;CARDVERIFIED;Viewable/Active;Viewable/Active;Publicado/Habilitado;Visible/Actif;
CARD;CARDKEYWORDS;Keywords;Keywords;Palabras clave;Mots clés;
CARD;CARDMOREFIELDS;More fields;More fields;Más campos;Plus de champs;
;;;;;;
CARD;CARDORIGINATOR;Creator;Creator;Creador;Créateur;
CARD;CARDCREATOR;Creator;Creator;Creador;Créateur;
CARD;CARDEDITOR;Editor;Editor;Editor;Éditeur;
CARD;CARDUPDATE;Last modification;Last modification;Última modificación;Dernière modification;
;;;;;;
CARD;SELECTCONTENT;content;Select content;Seleccionar contenido;Sélection contenu;
CARD;SELECT;Select;Select;Seleccionar;Sélection;
CARD;CHOOSE;Choose;Choose;Elija;Choisir;
CARD;SET;Set;Set;Fijar;Fixer;
CARD;GET;Get;Get;Obtener;Obtenir;
CARD;TEMPLATE;Template;Template;Plantilla;Modèle;
CARD;;;;;;
CARD;BYTITLE;TITLE;TITLE;TITULO;TITRE;
CARD;BYLASTID;last id;last id;último id;dernier id;
CARD;BYORDER;order;order;orden;ordre;
CARD;BYAUTHOR;AUTHOR;AUTHOR;AUTOR;AUTEUR;
CARD;BYDATEOUT;DATE OUT;DATE OUT;BAJA;DATE DE SORTIE;
CARD;BYDATEIN;DATE IN;DATE IN;ALTA;DATE D\'ENTREE;
CARD;BYVERIFIED;VERIFIED;VERIFIED;VERIFICADO;VERIFICATION;
CARD;BYUPDATE;UP DATE;UP DATE;FECHA MODIFICADO;MISE A JOUR;
;;;;;;
CARD;SITETITLE;Site Description;Site Description;Descripción del sitio;Description du site;
CARD;SITEDESCRIPTION;Site Description;Site Description;Descripción del sitio;Description du site;
CARD;SITEKEYWORDS;Site keywords;Site keywords;Palabras clave del sitio;Mots clés du site;
CARD;UP;Up;Up;Arriba;Au-dessus;
CARD;DOWN;Down;Down;Abajo;En-dessous;
;;;;;;
ADMIN;ADMINUSERS;Clients & newsletter members;Clients & newsletter members;Clientes y usuarios del newsletter;Clients et inscrits à la News Letter;
ADMIN;ADDUSER;Add a New User;Add a New User;Agregar un usuario;Ajouter nouveau utilisateur;
ADMIN;ADDADMIN;Add a New Admin;Add a New Admin;Agregar un Administrador;Ajouter un nouvel administrateur;
ADMIN;ADDINGUSER;New User;New User;Nuevo usuario;Nouvel utilisateur;
ADMIN;ADDINGADMIN;New Admin;New Admin;Nuevo administrador;Ajouter administrateur;
ADMIN;MODIFYINGUSER;Editing User;Editing User;Modificando usuario;Modifier utilisateur;
ADMIN;MODIFYINGADMIN;Editing Admin;Editing Admin;Modificando administrador;Modifier administrateur;
ADMIN;DELETINGUSER;Deleting User;Deleting User;Borrando usuario;Effacer utilisateur;
ADMIN;DELETINGADMIN;Deleting Admin;Deleting Admin;Borrando administrador;Effacer administrateur;
ADMIN;EDIT;Edit;Edit;Edit;Editer;
ADMIN;DELETE;Delete;Delete;Eliminar;Effacer;
ADMIN;NEW;New;New;New;Nouveau;
;;;;;;
USERS;USERVERIFIED;Active;Active;Habilitado;Actif;
USERS;USERNICK;Nick;Nick;Nick;Surnom;
USERS;USERPASSWORD;New password;Neues passwort;Nueva contraseña;Nouveau mot de passe;
USERS;USERPASSWORDCONFIRM;Password confirm;Passwort überprüfen;Confirmar Contraseña;Confirmer le Mot de passe;
USERS;USERFIRSTNAME;First Name;Vorname;Nombre;Prénom;
USERS;USERLASTNAME;Last Name;Nachname;Apellido;Nom;
USERS;USERADDRESS;Address;Adresse;Dirección;Adresse;
USERS;USERCP;Zip code;Zip code;Código postal;Code postal;
USERS;USERCONTACT;Contact;Contact;Contacto;Adresse de contact;
USERS;USERFLOOR;Floor;Etage;Piso;Etage;
USERS;USERCOUNTRY;Country;Land;País;Pays;
USERS;USERREGION;Region;Region;Provincia;Région;
USERS;USERCITY;City;Stadt;Ciudad;Ville;
USERS;USERLOCATION;Location;Location;Localidad;Département;
USERS;USERPHONENUMBER;Phone number;Telefon;Teléfono/Fax;Téléphone;
USERS;USERCELLNUMBER;Mobile;Mobile;Celular/Móvil;Portable;
USERS;USERFAXNUMBER;Fax;Fax;Fax;Fax;
USERS;USERINTERNALNUMBER;Internal;Internal;Interno;Interne;
USERS;USEREMAIL;E-mail;E-mail;E-mail;E-mail;
USERS;USEROCCUPATION;Occupation/Enterprise;Occupation/Enterprise;Empresa/Ocupación;Profession;
USERS;USEROFFICE;Office;Office;Oficina;Bureau;
USERS;USERCOMPANY;Company;Company;Empresa;Entreprise;
USERS;USERNATIONALITY;Nationality;Nationality;Nacionalidad;Nationalité;
USERS;USERLANGUAGESPOKEN;Language spoken;Gesprochene Sprache;Idiomas;Langues;
USERS;USERSEX;Gender;Geschlecht;Sexo;Sexe;
USERS;USERBIRTHDATE;Birthdate;Birthdate;Fecha de nacimiento;Date de naissance;
USERS;VERIFICATION;Verification;Bestätigung;Verificación;Vérification;
USERS;USERWEBPAGE;Web page;Web page;Página web;Page web;
USERS;USERLANGUAGES;Languages;Languages;Idiomas;Langues;
USERS;USERPROFILE;User card/profile;User card/profile;Ficha de usuario/Perfil;Fiche utilisateur/Profil;
;MALE;Male;Männlich;Hombre;Homme;
;FEMALE;Female;Weiblich;Mujer;Femme;
;AND;and;und;y;et;
ORDER;;;;;;
;BYFIRSTNAMELASTNAME;FIRST-LAST NAME;VORNAME;NOMBRE;PRENOM;
;BYLASTNAMEFIRSTNAME;LAST-FIRST NAME;NACHNAME;APELLIDO;NOM;
;BYCOUNTRY;COUNTRY;LAND;PAIS;PAYS;
;BYCITY;CITY;STADT;CIUDAD;VILLE;
;BYEMAIL;EMAIL;EMAIL;EMAIL;EMAIL;
;;;;;;
;;;;;;
MESSAGES;MAIL_CONFIRMATION_NEEDED;A mail confirmation has been sent to your mail box. Please read it to activate your account. Check your Spam folder if in 5 minutes you can't find it.;A mail confirmation has been sent to your mail box. Please read it to activate your account. Check your Spam folder if in 5 minutes you can't find it. ;Un email de confirmación ha sido envíado a su casilla de correo. Revise su correo y léalo para activar su cuenta. En caso de no encontrarlo, revise su carpeta de Spam o Correo Basura.;Un email de confirmation a été envoyé a votre boite pour vérifier vos coordonnées. Veuillez le lire afin d'activer votre compte. Si aprés 5 minutes vous ne trouvez pas cet email, vérifiez sur votre dossier Spam (Courrier Poubelle).;
MESSAGES;ADMINISTRATOR_CONFIRMATION_NEEDED;Once your account is checked out by the administrator we will activate your account.;Once your account is checked out by the administrator we will activate your account.;Una vez su cuenta verificada por un administrador será dada de alta y se le notificará.;Une fois votre compte vérifié para un administrateur, il sera activé et vous serez notifié.;
MESSAGES;INVALIDACTIVATIONCODE;Invalid activation code;Invalid activation code;Código de activación inválido;Code d\'activation invalide;
MESSAGES;ACTIVATIONFAILED;Activation failed, try again or register;Activation failed, try again or register;Error de activación, intente nuevamente o registrese;Problême d\'activation, essayer à nouveau ou enregistrez vous.;
MESSAGES;ACCOUNTACTIVATED;Your account was succesfully activated;Your account was succesfully activated;Su cuenta ha sido activada;Votre compte est activé;
MESSAGES;CLICKTOACTIVATE;Follow this link to activate your account;Follow this link to activate your account;Siga este enlace para activar su cuenta;Suivez ce lien pour activer votre compte;
MESSAGES;ACTIVATEACCOUNT;Activate your account;Activate your account;Finalizar registro;Activater votre compte;
MESSAGES;UPDATEACCOUNT;Update account;Update account;Actualizar datos;Actualizez votre compte;
MESSAGES;SETUP_COMPLETE;Setup complete!!;Setup complete!!;Configuración completada!!;installation complète!!;
MESSAGES;RECORD_CREATED;Record succesfully created;Record succesfully created;Registro creado exitosamente;Enregistrememt créé;
MESSAGES;RECORD_DELETED;Record succesfully deleted;Record succesfully deleted;Registro eliminado exitosamente;Enregistrememt éliminé;
MESSAGES;RECORD_UPDATED;Record succesfully updated;Record succesfully updated;Registro actualizado exitosamente;Enregistrememt modifié;
MESSAGES;RECORD_DELETION_WARNING;WARNING! You are about to delete a record.;WARNING! You are about to delete a record.;Atención! Usted está por eliminar un registro.;ATTENTION! Vous allez éliminer un enregistrement.;
MESSAGES;MULTIPLE_DELETION_WARNING;Are you sure to delete this ad ?;Sind sie sicher, dass sie diese Annonce löschen wollen?;Borrará los registros seleccionados. ¿Está seguro?;Etes-vous sûr de vouloir effacer cette annonce ?;
